Date,Open,High,Low,Fear Greed
5/1/2015,,,,46
5/4/2015,,,,42
5/5/2015,,,,50
5/6/2015,,,,52
5/7/2015,,,,52
5/8/2015,,,,54
5/11/2015,,,,61
5/12/2015,,,,64
5/13/2015,,,,73
5/14/2015,,,,77
5/15/2015,,,,79
5/18/2015,,,,77
5/19/2015,,,,80
5/20/2015,,,,77
5/21/2015,,,,75
5/22/2015,,,,77
5/26/2015,,,,78
5/27/2015,,,,74
5/28/2015,,,,74
5/29/2015,,,,66
6/1/2015,,,,66
6/2/2015,,,,65
6/3/2015,,,,58
6/4/2015,,,,58
6/5/2015,,,,52
6/8/2015,,,,44
6/9/2015,,,,46
6/10/2015,,,,39
6/11/2015,,,,42
6/12/2015,,,,40
6/15/2015,,,,39
6/16/2015,,,,43
6/17/2015,,,,43
6/18/2015,,,,48
6/19/2015,,,,44
6/22/2015,,,,44
6/23/2015,,,,37
6/24/2015,,,,36
6/25/2015,,,,37
6/26/2015,,,,37
6/29/2015,,,,35
6/30/2015,,,,40
7/1/2015,,,,43
7/2/2015,,,,48
7/6/2015,,,,48
7/7/2015,,,,56
7/8/2015,,,,56
7/9/2015,,,,60
7/10/2015,,,,60
7/13/2015,,,,60
7/14/2015,,,,57
7/15/2015,,,,57
7/16/2015,,,,55
7/17/2015,,,,59
7/20/2015,,,,59
7/21/2015,,,,64
7/22/2015,,,,66
7/23/2015,,,,59
7/24/2015,,,,61
7/27/2015,,,,61
7/28/2015,,,,53
7/29/2015,,,,61
7/30/2015,,,,61
7/31/2015,,,,58
8/3/2015,,,,58
8/4/2015,,,,53
8/5/2015,,,,58
8/6/2015,,,,53
8/7/2015,,,,49
8/10/2015,,,,55
8/11/2015,,,,57
8/12/2015,,,,57
8/13/2015,,,,62
8/14/2015,,,,62
8/17/2015,,,,64
8/18/2015,,,,64
8/19/2015,,,,60
8/20/2015,,,,50
8/21/2015,,,,47
8/24/2015,,,,47
8/25/2015,,,,43
8/26/2015,,,,40
8/27/2015,,,,43
8/28/2015,,,,45
8/31/2015,,,,44
9/1/2015,,,,40
9/2/2015,,,,36
9/3/2015,,,,36
9/4/2015,,,,37
9/8/2015,,,,41
9/9/2015,,,,30
9/10/2015,,,,26
9/11/2015,,,,27
9/14/2015,,,,26
9/15/2015,,,,34
9/16/2015,,,,30
9/17/2015,,,,42
9/18/2015,,,,49
9/21/2015,,,,36
9/22/2015,,,,34
9/23/2015,,,,33
9/24/2015,,,,8
9/25/2015,,,,11
9/28/2015,,,,18
9/29/2015,,,,16
9/30/2015,,,,13
10/1/2015,,,,13
10/2/2015,,,,9
10/5/2015,,,,12
10/6/2015,,,,14
10/7/2015,,,,24
10/8/2015,,,,24
10/9/2015,,,,30
10/12/2015,,,,30
10/13/2015,,,,34
10/14/2015,,,,34
10/15/2015,,,,25
10/16/2015,,,,20
10/19/2015,,,,15
10/20/2015,,,,15
10/21/2015,,,,7
10/22/2015,,,,17
10/23/2015,,,,21
10/26/2015,,,,21
10/27/2015,,,,20
